Time, Target Left Vel, Target Right Vel, Actual Left Vel, Actual Right Vel
960.000000, 27.000000, 27.000000, 37.828703, 36.118498
970.000000, 25.500000, 25.500000, 36.577956, 33.872259
980.000000, 24.000000, 24.000000, 33.106496, 32.519411
990.000000, 22.500000, 22.500000, 31.166563, 31.141037
1000.000000, 21.000000, 21.000000, 29.813714, 28.486391
1010.000000, 19.500000, 19.500000, 28.614019, 25.882796
1020.000000, 18.000000, 18.000000, 25.193610, 23.713134
1030.000000, 16.500000, 16.500000, 24.912830, 28.818222
1040.000000, 15.000000, 15.000000, 29.226629, 21.390319
1050.000000, 13.500000, 13.500000, 24.836253, 15.417366
1060.000000, 12.000000, 12.000000, 15.749197, 14.575026
1070.000000, 10.500000, 10.500000, 12.379839, 13.069025
1080.000000, 9.000000, 9.000000, 14.064518, 10.975939
1090.000000, 7.500000, 7.500000, 13.094551, 10.822787
1100.000000, 6.000000, 6.000000, 10.567532, 8.959430
1110.000000, 4.500000, 4.500000, 8.346819, 7.427903
1120.000000, 3.000000, 3.000000, 5.079563, 5.105088
1130.000000, 1.500000, 1.500000, 5.079563, 5.105088
1140.000000, 0.000000, 0.000000, 5.079563, 5.105088
1150.000000, 0.000000, 0.000000, 5.079563, 4.594579
1160.000000, 0.000000, 0.000000, 1.557052, 1.608103
1170.000000, 0.000000, 0.000000, 0.000000, -1.148645
1180.000000, 0.000000, 0.000000, -2.935426, -3.624613
1190.000000, 0.000000, 0.000000, -5.283766, -6.100580
1200.000000, 0.000000, 0.000000, -6.355835, -6.560038
1210.000000, 0.000000, 0.000000, -7.453429, -7.912886
1220.000000, 0.000000, 0.000000, -8.014988, -8.295768
1230.000000, 0.000000, 0.000000, -8.397870, -8.627599
1240.000000, 0.000000, 0.000000, -8.627599, -8.882853
1250.000000, 0.000000, 0.000000, -9.010480, -9.750718
1260.000000, 0.000000, 0.000000, -9.546515, -10.235702
1270.000000, 0.000000, 0.000000, -10.363329, -10.490956
1280.000000, 0.000000, 0.000000, -10.312278, -11.103567
1290.000000, 0.000000, 0.000000, -10.848312, -11.358821
1300.000000, 0.000000, 0.000000, -11.333295, -11.537499
1310.000000, 0.000000, 0.000000, -11.384346, -11.945906
1320.000000, 0.000000, 0.000000, -12.175635, -12.507466
1330.000000, 0.000000, 0.000000, -12.762720, -13.094551
1340.000000, 0.000000, 0.000000, -12.277737, -13.426382
1350.000000, 0.000000, 0.000000, -12.788246, -13.477432
1360.000000, 0.000000, 0.000000, -13.758212, -13.017975
1370.000000, 0.000000, 0.000000, -13.171127, -12.941398
1380.000000, 0.000000, 0.000000, -13.145602, -13.630585
1390.000000, 0.000000, 0.000000, -14.294247, -14.166619
1400.000000, 0.000000, 0.000000, -14.115568, -13.962416
1410.000000, 0.000000, 0.000000, -13.987941, -14.932383
1420.000000, 0.000000, 0.000000, -14.702654, -14.804755
1430.000000, 0.000000, 0.000000, -14.141094, -14.575026
1440.000000, 0.000000, 0.000000, -14.447399, -14.600552
1450.000000, 0.000000, 0.000000, -14.983433, -14.830281
1460.000000, 0.000000, 0.000000, -14.855806, -15.596044
1470.000000, 0.000000, 0.000000, -15.596044, -15.544993
1480.000000, 0.000000, 0.000000, -15.136586, -15.366315
1490.000000, 0.000000, 0.000000, -15.519468, -15.927875
1500.000000, 0.000000, 0.000000, -15.749197, -15.672620
1510.000000, 0.000000, 0.000000, -15.978926, -15.927875
1520.000000, 0.000000, 0.000000, -15.238688, -16.183129
1530.000000, 0.000000, 0.000000, -15.749197, -15.647095
1540.000000, 0.000000, 0.000000, -15.621569, -15.647095
1550.000000, 0.000000, 0.000000, -15.672620, -16.514960
1560.000000, 0.000000, 0.000000, -17.050994, -16.310756
1570.000000, 0.000000, 0.000000, -16.310756, -16.668113
1580.000000, 0.000000, 0.000000, -16.617062, -16.361807
1590.000000, 0.000000, 0.000000, -16.208655, -16.668113
1600.000000, 0.000000, 0.000000, -16.029977, -16.770214
1610.000000, 0.000000, 0.000000, -16.208655, -16.540485
1620.000000, 0.000000, 0.000000, -16.566011, -17.050994
1630.000000, 0.000000, 0.000000, -17.076520, -16.897841
1640.000000, 0.000000, 0.000000, -16.183129, -16.974418
1650.000000, 0.000000, 0.000000, -16.463909, -16.132078
